epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.7,1.53351,2.2715,1.84666,0.39081,0.11078,0.03419,0.01727,2.02056,4.8446,2.43658,0.0700645,0.00332616,0.00332616
2,328.228,1.58108,2.23416,1.88747,0.46662,0.14716,0.06788,0.04548,1.75922,3.52939,2.26183,0.0399446,0.00653963,0.00653963
3,477.912,1.49086,2.05358,1.80015,0.77767,0.22586,0.27448,0.18006,1.47908,2.19112,1.98786,0.00970477,0.00963309,0.00963309
4,627.259,1.41419,1.95056,1.7506,0.65858,0.28323,0.29598,0.18889,1.58274,1.91209,2.12042,0.00946,0.00946,0.00946
5,779.991,1.33579,1.84185,1.68393,0.72975,0.2839,0.30779,0.21587,1.25378,1.83061,1.7826,0.00928,0.00928,0.00928
6,927.79,1.26723,1.74873,1.62357,0.84471,0.34034,0.41737,0.27153,1.32514,1.77066,1.75551,0.0091,0.0091,0.0091
7,1071.99,1.27781,1.67956,1.61922,0.81024,0.31754,0.41889,0.26909,1.26135,1.63858,1.71957,0.00892,0.00892,0.00892
8,1220.88,1.22909,1.58096,1.57976,0.7772,0.35764,0.40813,0.28081,1.20136,1.56674,1.6448,0.00874,0.00874,0.00874
9,1372.33,1.19387,1.56065,1.55282,0.83392,0.35657,0.47153,0.32442,1.24625,1.46421,1.6648,0.00856,0.00856,0.00856
10,1521.33,1.16521,1.51407,1.52921,0.80955,0.38729,0.48683,0.33199,1.2272,1.51228,1.62923,0.00838,0.00838,0.00838
11,1666.71,1.13809,1.47303,1.51277,0.83797,0.35728,0.49448,0.33625,1.23421,1.41437,1.66455,0.0082,0.0082,0.0082
12,1812.46,1.12305,1.4609,1.5086,0.86211,0.35304,0.43042,0.30697,1.08673,1.39357,1.54823,0.00802,0.00802,0.00802
13,1951.44,1.1043,1.41613,1.48808,0.83745,0.35764,0.45702,0.30471,1.2532,1.43882,1.69224,0.00784,0.00784,0.00784
14,2097.63,1.12434,1.43488,1.48816,0.85592,0.36539,0.4627,0.33393,1.1473,1.30165,1.57921,0.00766,0.00766,0.00766
15,2245.28,1.09966,1.34978,1.46934,0.8401,0.43663,0.59987,0.42375,1.13055,1.22556,1.54672,0.00748,0.00748,0.00748
16,2394.6,1.07998,1.33376,1.45913,0.87731,0.35999,0.63992,0.45055,1.0903,1.28291,1.52365,0.0073,0.0073,0.0073
17,2537.3,1.05879,1.29197,1.44112,0.84354,0.43784,0.55385,0.4066,1.08647,1.1502,1.49172,0.00712,0.00712,0.00712
18,2677.69,1.06082,1.27425,1.43292,0.75399,0.57305,0.62997,0.46568,1.07224,1.09277,1.49422,0.00694,0.00694,0.00694
19,2819.56,1.05892,1.26333,1.42836,0.35718,0.57611,0.55855,0.37882,1.15328,1.24327,1.58581,0.00676,0.00676,0.00676
20,2960.55,1.02881,1.2478,1.41959,0.89152,0.46553,0.67709,0.46726,1.09568,1.08333,1.49623,0.00658,0.00658,0.00658
21,3104.37,1.04237,1.23656,1.42235,0.93431,0.40145,0.70148,0.50921,1.04595,1.07339,1.46185,0.0064,0.0064,0.0064
22,3250.28,1.00329,1.20358,1.40071,0.85002,0.44813,0.54793,0.39215,1.07934,1.19629,1.46468,0.00622,0.00622,0.00622
23,3392.01,1.01363,1.2023,1.40267,0.43653,0.60767,0.66304,0.48051,1.04262,1.11637,1.4566,0.00604,0.00604,0.00604
24,3536.5,1.00783,1.19668,1.39861,0.47017,0.66392,0.64038,0.48291,1.08943,1.09222,1.50393,0.00586,0.00586,0.00586
25,3677.63,0.99393,1.13333,1.39889,0.59441,0.60074,0.67429,0.45894,1.04341,1.0524,1.44636,0.00568,0.00568,0.00568
26,3818.94,1.00639,1.1632,1.39133,0.71679,0.68282,0.76676,0.56197,1.01236,0.98837,1.43594,0.0055,0.0055,0.0055
27,3961.03,0.95533,1.0966,1.35607,0.69981,0.64605,0.71192,0.51809,1.0172,0.94877,1.42334,0.00532,0.00532,0.00532
28,4100.54,0.98085,1.10553,1.3711,0.70295,0.57645,0.64405,0.45455,1.00502,0.99973,1.44314,0.00514,0.00514,0.00514
29,4239.8,0.94566,1.08007,1.35403,0.80811,0.6456,0.74751,0.56407,0.97409,0.90305,1.41835,0.00496,0.00496,0.00496
30,4380.63,0.95527,1.073,1.36253,0.76448,0.59868,0.70496,0.52476,0.99106,0.92855,1.36551,0.00478,0.00478,0.00478
31,4522.95,0.95648,1.05603,1.35506,0.84461,0.5844,0.70348,0.49714,0.94356,1.01805,1.3649,0.0046,0.0046,0.0046
32,4661.63,0.92688,1.03927,1.33958,0.87016,0.64216,0.7489,0.5447,1.01378,0.89301,1.43529,0.00442,0.00442,0.00442
33,4801.82,0.9309,1.04832,1.34373,0.77608,0.61015,0.77718,0.53999,0.96328,0.98754,1.37338,0.00424,0.00424,0.00424
34,4942.05,0.94533,1.02726,1.34404,0.73537,0.81104,0.79552,0.60126,0.98394,0.84876,1.37696,0.00406,0.00406,0.00406
35,5081.41,0.92072,1.00324,1.32901,0.70302,0.73555,0.73043,0.48374,0.9989,0.92878,1.41164,0.00388,0.00388,0.00388
36,5219.87,0.91933,0.99072,1.33654,0.93153,0.67281,0.8187,0.58248,0.99203,0.88613,1.41396,0.0037,0.0037,0.0037
37,5359.08,0.9069,0.97505,1.31741,0.74942,0.68488,0.74886,0.53643,0.95883,0.92719,1.38477,0.00352,0.00352,0.00352
38,5499.26,0.90052,0.97488,1.31834,0.7424,0.79198,0.7951,0.57025,0.92319,0.84465,1.32598,0.00334,0.00334,0.00334
39,5637.85,0.88854,0.95789,1.30362,0.71895,0.73139,0.7183,0.5049,0.98094,0.91528,1.39097,0.00316,0.00316,0.00316
40,5779.86,0.90862,0.95167,1.31541,0.77962,0.63017,0.72226,0.53534,0.98978,0.98709,1.40322,0.00298,0.00298,0.00298
41,5919.63,0.83131,0.87483,1.36523,0.90642,0.70208,0.84053,0.62501,0.98195,0.79569,1.38425,0.0028,0.0028,0.0028
42,6057.62,0.79502,0.8033,1.32949,0.89829,0.72031,0.8149,0.62775,0.92323,0.80165,1.33731,0.00262,0.00262,0.00262
43,6195.42,0.78979,0.76027,1.31888,0.75233,0.65301,0.7642,0.52774,0.98437,0.88377,1.38984,0.00244,0.00244,0.00244
44,6333.75,0.7785,0.74162,1.31322,0.85423,0.76849,0.83498,0.61831,0.96539,0.8513,1.35335,0.00226,0.00226,0.00226
45,6471.18,0.76357,0.70199,1.29572,0.80672,0.83234,0.88229,0.67417,0.9424,0.83106,1.3712,0.00208,0.00208,0.00208
46,6608.82,0.7465,0.71225,1.28634,0.68841,0.74084,0.79159,0.57522,0.93711,0.77431,1.34197,0.0019,0.0019,0.0019
47,6746.8,0.74586,0.67323,1.28558,0.94879,0.63004,0.77134,0.58393,0.91983,0.81719,1.32171,0.00172,0.00172,0.00172
48,6884.23,0.7405,0.66723,1.27344,0.89219,0.71624,0.80581,0.59837,0.89969,0.85836,1.31041,0.00154,0.00154,0.00154
49,7021.74,0.73059,0.64496,1.26806,0.6981,0.8052,0.76987,0.59596,0.90831,0.78049,1.31105,0.00136,0.00136,0.00136
50,7159.11,0.71653,0.62899,1.25537,0.88313,0.72346,0.81836,0.62884,0.91152,0.78652,1.31176,0.00118,0.00118,0.00118
